IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
172.65.218.129,8443,8443,true,NRT,Asia Pacific,Tokyo,210.20,10.11
104.18.34.147,8443,8443,true,NRT,Asia Pacific,Tokyo,210.37,10.11
104.19.168.162,8443,8443,true,NRT,Asia Pacific,Tokyo,210.48,10.11
172.65.221.9,8443,8443,true,NRT,Asia Pacific,Tokyo,210.53,10.11
172.65.222.49,8443,8443,true,NRT,Asia Pacific,Tokyo,210.53,10.11
104.19.167.122,8443,8443,true,NRT,Asia Pacific,Tokyo,210.55,10.11
162.159.133.236,8443,8443,true,NRT,Asia Pacific,Tokyo,210.57,10.11
172.67.11.140,8443,8443,true,NRT,Asia Pacific,Tokyo,210.60,10.11
104.17.237.161,8443,8443,true,NRT,Asia Pacific,Tokyo,210.78,10.11
104.19.164.102,8443,8443,true,NRT,Asia Pacific,Tokyo,210.91,10.11
172.67.1.130,8443,8443,true,NRT,Asia Pacific,Tokyo,210.98,10.11
104.26.15.123,8443,8443,true,NRT,Asia Pacific,Tokyo,210.98,10.11
172.67.3.106,8443,8443,true,NRT,Asia Pacific,Tokyo,211.06,10.11
162.159.129.30,8443,8443,true,NRT,Asia Pacific,Tokyo,211.08,10.11
172.65.209.245,8443,8443,true,NRT,Asia Pacific,Tokyo,211.23,10.11
172.66.42.57,8443,8443,true,NRT,Asia Pacific,Tokyo,211.27,10.11
104.26.5.239,8443,8443,true,NRT,Asia Pacific,Tokyo,211.34,10.11
172.65.183.125,8443,8443,true,NRT,Asia Pacific,Tokyo,211.55,10.11
172.67.157.169,8443,8443,true,NRT,Asia Pacific,Tokyo,211.89,10.11
104.16.13.112,8443,8443,true,NRT,Asia Pacific,Tokyo,211.94,10.11
104.18.11.116,8443,8443,true,NRT,Asia Pacific,Tokyo,212.09,10.11
172.65.178.135,8443,8443,true,NRT,Asia Pacific,Tokyo,212.12,10.11
172.67.13.171,8443,8443,true,NRT,Asia Pacific,Tokyo,212.22,10.11
104.18.8.64,8443,8443,true,NRT,Asia Pacific,Tokyo,212.36,10.11
104.17.235.24,8443,8443,true,NRT,Asia Pacific,Tokyo,212.40,10.11
104.16.105.113,8443,8443,true,NRT,Asia Pacific,Tokyo,212.47,10.11
172.65.215.211,8443,8443,true,NRT,Asia Pacific,Tokyo,212.60,10.11
104.19.171.37,8443,8443,true,NRT,Asia Pacific,Tokyo,212.69,10.11
172.65.184.222,8443,8443,true,NRT,Asia Pacific,Tokyo,212.74,10.11
162.159.134.125,8443,8443,true,NRT,Asia Pacific,Tokyo,212.77,10.11
172.67.7.206,8443,8443,true,NRT,Asia Pacific,Tokyo,212.82,10.11
104.16.43.221,8443,8443,true,NRT,Asia Pacific,Tokyo,212.88,10.11
172.67.12.79,8443,8443,true,NRT,Asia Pacific,Tokyo,212.88,10.11
104.16.45.171,8443,8443,true,NRT,Asia Pacific,Tokyo,212.95,10.11
104.16.104.1,8443,8443,true,NRT,Asia Pacific,Tokyo,213.05,10.11
172.65.217.187,8443,8443,true,NRT,Asia Pacific,Tokyo,213.14,10.11
162.159.160.138,8443,8443,true,NRT,Asia Pacific,Tokyo,213.29,10.11
162.159.136.94,8443,8443,true,NRT,Asia Pacific,Tokyo,213.33,10.11
172.65.216.78,8443,8443,true,NRT,Asia Pacific,Tokyo,213.36,10.11
104.16.106.169,8443,8443,true,NRT,Asia Pacific,Tokyo,213.38,10.11
172.67.8.73,8443,8443,true,NRT,Asia Pacific,Tokyo,213.47,10.11
104.18.30.23,8443,8443,true,NRT,Asia Pacific,Tokyo,213.49,10.11
162.159.135.184,8443,8443,true,NRT,Asia Pacific,Tokyo,213.52,10.11
172.67.15.165,8443,8443,true,NRT,Asia Pacific,Tokyo,213.68,10.11
104.16.111.136,8443,8443,true,NRT,Asia Pacific,Tokyo,213.73,10.11
104.26.3.74,8443,8443,true,NRT,Asia Pacific,Tokyo,213.77,10.11
104.16.103.61,8443,8443,true,NRT,Asia Pacific,Tokyo,213.89,10.11
162.159.130.57,8443,8443,true,NRT,Asia Pacific,Tokyo,214.01,10.11
172.65.220.57,8443,8443,true,NRT,Asia Pacific,Tokyo,214.05,10.11
172.65.177.27,8443,8443,true,NRT,Asia Pacific,Tokyo,214.07,10.11
172.65.176.9,8443,8443,true,NRT,Asia Pacific,Tokyo,214.13,10.11
172.67.0.61,8443,8443,true,NRT,Asia Pacific,Tokyo,214.14,10.11
172.65.214.195,8443,8443,true,NRT,Asia Pacific,Tokyo,214.15,10.11
104.19.237.85,8443,8443,true,NRT,Asia Pacific,Tokyo,214.21,10.11
172.65.187.34,8443,8443,true,NRT,Asia Pacific,Tokyo,214.25,10.11
104.17.248.220,8443,8443,true,NRT,Asia Pacific,Tokyo,214.31,10.11
172.65.182.158,8443,8443,true,NRT,Asia Pacific,Tokyo,214.42,10.11
172.65.180.206,8443,8443,true,NRT,Asia Pacific,Tokyo,214.44,10.11
162.159.153.240,8443,8443,true,NRT,Asia Pacific,Tokyo,214.45,10.11
